"planet","house","ruler","ruler_house","bg","en"
"moon","3","moon","3","Настроението ви се решава в приказката и никой отвън не го дърпа. Обадите ли се на когото трябва, денят се оправя; замълчи ли някой, се разваля. Тук сами си държите и телефона, и мълчанието.","Your mood is settled in conversation and nothing outside pulls it. Call the right person and the day mends; let someone go quiet and it spoils. Both the phone and the silence are in your own hands."
"moon","3","sun","1","Говорите, за да ви видят, и ви е добре, когато са ви чули. Всичко минава лично през вас — не през брат, не през съсед. Замълчат ли ви, се засягате повече, отколкото си признавате.","You talk to be seen, and you are well when you have been heard. It all runs through you in person, not through a sibling or a neighbour. Being ignored stings more than you let on."
"moon","3","sun","2","Спокойни сте, докато думата ви струва нещо, а тук тя се мери с пари. Обажданията, които носят работа, ви вдигат; празната приказка ви изнервя. Говорете там, където се плаща.","You are calm as long as your word is worth something, and here it is measured in money. Calls that bring work lift you; empty chatter grates. Speak where it pays."
"moon","3","sun","3","Всичко ви се решава на място: между брат, съсед и телефон. Вие сте центърът на този малък свят и настроението ви зависи изцяло от него. Няма кой да ви извади оттам — движите се сами.","Everything gets settled on the spot, among a sibling, a neighbour and the phone. You are the centre of that small world and your mood belongs to it entirely. Nobody will lift you out of it; you move yourself."
"moon","3","sun","4","Тонът ви идва от къщи. Кажат ли ви добра дума там, говорите леко с всички; има ли напрежение, отговаряте кратко и хората не разбират защо. Затова брат или сестра тежат повече от приятел.","Your tone comes from the house. A kind word there and you speak easily with everyone; tension there and your answers go short while people wonder why. Which is why a brother or sister weighs more than a friend."
"moon","3","sun","5","Разприказвате се, когато ви е забавно — с дете, в игра, около човек, който ви харесва. Тогава сте най-добри и най-точни. Няма ли живец, езикът ви натежава и се затваряте.","You open up when you are enjoying yourself: with a child, in a game, around someone you like. That is when you are at your best and your sharpest. Without that spark your tongue goes heavy and you shut down."
"moon","3","sun","6","Настроението ви върви по деня — колко работа, колко сън, добре ли сте телом. Затова говорите чудесно в добър ден и отсечено, когато сте изморени. Оправите ли режима, се оправя и приказката.","Your mood follows the day: how much work, how much sleep, whether the body holds. So you talk beautifully on a good day and clipped when you are worn out. Fix the routine and the talk fixes itself."
"moon","3","sun","7","Каквото имате да кажете, минава през един човек. Той ви дава увереност да го изречете и той ви е цензурата. Сами не се решавате, а после ви е неудобно от това.","Whatever you have to say goes through one particular person. They give you the confidence to say it and they are also your censor. On your own you hesitate, and afterwards that embarrasses you."
"moon","3","sun","8","Не всичко се казва и вие го знаете рано. Държите нещо назад — чужда тайна, стар страх, пари, които не са ваши. Затова приказката ви е лека отгоре, а под нея има заключена стая.","Not everything gets said and you learned that early. You hold something back: someone else's secret, an old fear, money that is not yours. So your talk is light on the surface with a locked room underneath."
"moon","3","sun","9","Тесният кръг ви е малък и го чувствате. Оправяте се, когато четете, учите или тръгнете надалеч, и се връщате по-спокойни с всички. Оставите ли се само на квартала, се задушавате.","The near circle is too small for you and you feel it. You come right when you read, study or go far, and you come back easier with everyone. Left with only the neighbourhood you suffocate."
"moon","3","sun","10","Мерите думите си според това как ще прозвучат навън. Едно изречение на правилното място ви носи име, друго ви го отнема, и вие го знаете, докато говорите. Затова у дома сте по-свободни, отколкото пред хора.","You weigh your words by how they will sound out there. One sentence in the right place makes your name and another takes it, and you know it while you are speaking. Which is why you are freer at home than in public."
"moon","3","sun","11","Спокойни сте, когато има с кого да си говорите — приятели, кръг, обща работа. Оттам идва и увереността да кажете каквото мислите. Останете ли без своите, дори дребната приказка ви натежава.","You are settled when there is someone to talk to: friends, a circle, something shared. That is where the nerve to say what you think comes from. Without your people even small talk turns heavy."
"moon","3","sun","12","Най-важното си го казвате наум. Отвън минавате за приказливи, а истинското стои настрана и рядко излиза. Записвайте го някъде, иначе се върти без изход.","The important part you say to yourself. Outwardly you pass for talkative while the real thing stands apart and rarely comes out. Write it down somewhere; otherwise it circles with nowhere to go."
"moon","3","mercury","1","Мислите на глас и то се вижда по вас. Каквото ви минава през главата, излиза веднага, понякога преди да сте го премислили. Тук сами си управлявате езика и няма кой да ви спре.","You think out loud and it shows on you. Whatever crosses your mind comes straight out, sometimes before you have finished thinking it. Your tongue is yours to govern, with nobody to stop you."
"moon","3","mercury","2","Приказката ви върши работа и я обръщате в пари — уговорка, посредничество, дребна сделка. Затова настроението ви се вдига, когато телефонът звъни за работа. Стихне ли, започвате да се притеснявате без причина.","Your talk does real work and you turn it into money: an arrangement, a go-between job, a small deal. So your mood lifts when the phone rings with business. When it goes quiet you start worrying for no reason."
"moon","3","mercury","3","Всичко ви е под ръка и всичко се решава веднага — обаждане, съобщение, кратък път до някого. Умът ви не спира и настроението се мени с всяко ново известие. Затова денят ви се струва дълъг, а нищо не е свършено.","Everything is within reach and everything is settled on the spot: a call, a message, a short trip to somebody. Your mind never stops and your mood turns with each new piece of news. Which is why the day feels long and nothing feels finished."
"moon","3","mercury","4","Приказката ви живее вкъщи. Оттам знаете новините, оттам ви идват и притесненията, и точно там говорите най-много. Разбъркат ли се нещата в семейството, замлъквате и навън.","Your talk lives in the house. That is where the news reaches you, where the worries come from, and where you say the most. When family matters tangle you go quiet outside too."
"moon","3","mercury","5","Разказвате хубаво и обичате да ви слушат — деца, влюбване, компания за смях. Тогава думите ви идват сами и някой ви обиква точно за това. Отегчите ли се, ставате хапливи.","You tell a story well and you like being listened to: children, a flirtation, company that laughs. Then the words arrive by themselves and someone loves you for exactly that. Bored, you turn sharp-tongued."
"moon","3","mercury","6","Успокоявате се, като си подредите деня — списък, час, свършена дреболия. Иначе умът ви върти едно и също и това ви хваща за стомаха. Кажете го на глас или го напишете, и минава.","You settle by putting the day in order: a list, an appointment, one small thing finished. Otherwise your mind runs the same loop and it goes straight to your stomach. Say it aloud or write it down and it passes."
"moon","3","mercury","7","Мислите на глас, но насреща. Един човек ви подрежда думите и без него разговорът ви увисва. Затова спорите охотно — така си намирате отговора.","You think out loud, but only opposite someone. One person sorts your words for you and without them the conversation hangs. So you argue willingly; that is how you find your answer."
"moon","3","mercury","8","Разпитвате, докато разберете, и не спирате на първия отговор. Дребното недоизказано ви държи буден повече от голямата грижа. Питайте направо, иначе си дописвате най-лошото.","You keep asking until you understand and you never stop at the first answer. A small thing left unsaid keeps you awake longer than a big worry. Ask straight out; otherwise you finish the story yourself, in the worst version."
"moon","3","mercury","9","Дребната приказка ви е тясна. Успокоявате се, когато има какво да учите или накъде да тръгнете, и се връщате с нещо за разказване. Един учител или един чужд език ви е свършил повече работа от целия квартал.","Small talk is too narrow for you. You settle when there is something to learn or somewhere to go, and you come back with something to tell. One teacher or one foreign language has done you more good than the whole neighbourhood."
"moon","3","mercury","10","Пишете и говорите там, където се решава, и това ви е работата, дори да не се води така. Похвалят ли ви за казаното, ви е добре цял ден. Затова внимавайте кому какво изпускате.","You write and speak where the decisions are made, and that is your job even if it is not called that. Praise for something you said keeps you well all day. So watch what you let slip and to whom."
"moon","3","mercury","11","Живеете в разговорите с приятели — там разбирате какво мислите. Групата, чатът, кръгът ви е и новина, и утеха. Замлъкне ли, започвате да се чувствате изоставени без повод.","You live in conversations with friends; that is where you find out what you think. The group, the chat, the circle is both news and comfort. When it goes quiet you start feeling abandoned for no reason."
"moon","3","mercury","12","Наум говорите повече, отколкото на глас. Въртите изречения, които никога няма да кажете, и точно те ви крадат съня. Дневник, бележка, писмо без адрес — това ви разтоварва.","You say more in your head than out loud. You turn over sentences you will never speak, and those are the ones that steal your sleep. A diary, a note, a letter with no address unloads it."
"moon","3","venus","1","Говорите мило и хората ви приемат бързо. Гладко ли е наоколо, добре сте; скарат ли се пред вас, ви се разваля денят. Тук сами избирате тона и лесно се съгласявате само за да е тихо.","You speak kindly and people warm to you fast. When things are smooth around you, you are well; a quarrel in front of you spoils the day. You choose your own tone here, and you agree too easily just to keep the peace."
"moon","3","venus","2","Приятната ви дума върши работа и се обръща в нещо, което се хваща в ръка. Похвала, подарък, малка сделка през познат — така ви върви. Затова не понасяте груб тон около пари.","Your pleasant word does real work and turns into something you can hold. A compliment, a gift, a small deal through an acquaintance is how it comes to you. Which is why a rough tone about money is unbearable to you."
"moon","3","venus","3","Обичате да си говорите с наблизо: брат, сестра, съседка, стар съученик. Едно кафе и половин час приказка ви оправят повече от голям план. Само гледайте да не заглаждате всичко, докато важното остане неказано.","You love talking with whoever is near: a sibling, a neighbour, an old classmate. A coffee and half an hour of chat mends you more than any grand plan. Just take care not to smooth everything over until the real thing stays unsaid."
