"planet","house","ruler","ruler_house","bg","en"
"mars","1","mars","1","Тръгвате първи и после мислите — това ви е и силата, и сметката. Никой не ви държи и никой не ви пази: цялата газ е ваша, белезите също. Научете се да чакате три секунди, повече от това не ви е нужно.","You move first and think afterwards, which is both your strength and your bill. Nobody holds you back and nobody covers for you: the throttle is yours and so are the scars. Learn to wait three seconds; more than that you do not need."
"mars","1","sun","1","Влизате горещо и веднага си личите, без да търсите разрешение от никого. Гордостта и юмрукът ви стоят на едно място, затова една подигравка вдига целия ден. Всичко тук се решава от вас, което значи, че няма и на кого да се сърдите.","You come in hot and register at once, and you ask nobody's permission. Pride and fist sit in the same spot, so one bit of mockery lifts the whole day. It is all decided by you here, which also means there is nobody else to blame."
"mars","1","sun","2","Хвърляте се напред, но истинската мярка е какво влиза в джоба. Докато печелите, сте лъв; стане ли тънко, ставате сърдити на всички наоколо. Не наливайте кураж в скъпи покупки — тук се брои това, което остава.","You throw yourself forward, but the real measure is what lands in your pocket. While the earnings hold you are a lion; when they thin you turn cross with everyone nearby. Do not pour your courage into expensive purchases — what counts here is what is left."
"mars","1","sun","3","Бързи сте на думи и точно там ви е честта. Един брат, съсед или колега казва нещо и вие вече отговаряте, преди да сте чули края. Печелите, като говорите открито; губите, като го правите пръв и на висок глас.","You are quick with words and that is exactly where your honour lives. A sibling, a neighbour or a colleague says something and you are answering before they finish. You win by speaking openly and you lose by doing it first and loudly."
"mars","1","sun","4","Излизате навън твърди, а мярката ви е бащата и къщата зад вас. Мерите се с някого от своите и това ви държи в напрежение години. Оправите ли отношението там, спирате да се биете с непознати.","You come out hard, and your yardstick is a father and the house behind you. You measure yourself against one of your own and it keeps you tense for years. Settle that and you stop fighting strangers."
"mars","1","sun","5","Смелостта ви иска публика — игра, дете, любов, нещо, което да се види. Има ли за какво да блеснете, работите като машина; няма ли, ставате рязки от скука. Рискувайте, но не залагайте всичко на един ход.","Your courage wants an audience — a game, a child, a love, something visible. Given a reason to shine you work like a machine; without one you turn sharp out of boredom. Take the risk, but do not put everything on one move."
"mars","1","sun","6","Личите се отдалеч, а истината се доказва в еднообразните дни. Тялото ви е горещо и издържа много, докато един ден спре наведнъж. Правете по малко всеки ден и никой няма да ви догони.","You stand out from a distance, and the proof comes in the unremarkable days. Your body runs hot and takes a great deal, until one day it stops all at once. Do a little every day and nobody will catch up with you."
"mars","1","sun","7","Носите се сами, а най-острото ви идва от човека срещу вас. Той ви вдига и той ви вади от равновесие, понякога в един и същи следобед. Избирайте си добър противник — тук от него ще станете човек.","You carry yourself alone, and the sharpest of it comes from the person opposite. They lift you and they knock you off balance, sometimes in the same afternoon. Choose your opponent well, because here they are what makes you."
"mars","1","sun","8","Показвате се смело, а най-важното се урежда там, където никой не говори — дългове, наследство, чужди пари. Държите се, докато не се почувствате измамени, и тогава ставате безмилостни. Четете какво подписвате, преди да сте се разгорещили.","You show up bold, and the important part is settled where nobody speaks — debts, an inheritance, other people's money. You stay steady until you feel cheated, and then you are merciless. Read what you sign before the heat arrives."
"mars","1","sun","9","Ходите напред и не питате кой е съгласен, но ви трябва далечина. Път, чужд език, вяра, нещо, за което да се биете с ум, не с юмрук. Затворят ли ви в тесен коридор, започвате да се карате за глупости.","You go forward without asking who agrees, and you need distance. A road, a foreign language, a belief, something to fight for with your head instead of your fists. Boxed into a narrow corridor you start rowing over nothing."
"mars","1","sun","10","Излизате напред и това се вижда най-добре пред хората, които решават. Каквото постигнете навън, се качва право на лицето ви; провалът също. Целете високо, но с ясна мишена, не от ярост.","You step out in front, and it shows best before the people who decide. Whatever you achieve out there goes straight onto your face; so does a failure. Aim high, but with a target rather than out of anger."
"mars","1","sun","11","Биете се напред, а вятърът в гърба идва от групата. Един уверен приятел ви струва повече от три месеца упоритост. Само не превръщайте всяко общо дело в свое лично отмъщение.","You push forward, and the wind at your back comes from the group. One confident friend is worth more to you than three months of stubbornness. Just do not turn every shared cause into a private revenge."
"mars","1","sun","12","Отвън сте горещи, а най-своето правите, когато никой не гледа. Има гордост, която не показвате, и точно тя ви дава сила. Стойте сами по един час на ден, иначе изгаряте и се карате без причина.","In public you run hot, and what is most yours gets done when nobody is watching. There is a pride you never display and it is exactly what keeps you standing. Take an hour alone each day, or you burn through and pick fights for nothing."
"mars","1","moon","1","Кипвате бързо и това се вижда веднага по лицето ви. Настроението ви е горивото: сутрин сте готови на всичко, вечер не ви се говори с никого. Никой отвън не ви го подрежда, така че сами си учете спирачката.","You flare up fast and it shows on your face immediately. Mood is the fuel: in the morning you are up for anything, by evening you want nobody near you. Nothing outside regulates it, so the brake is yours to learn."
