"planet","house","ruler","ruler_house","bg","en"
"uranus","1","sun","1","Вие сте различният и това се вижда от вратата. Правите своето и не се вписвате, дори когато опитате. Само не се различавайте нарочно — вече ви е достатъчно.","You are the different one and it shows from the doorway. You do your own thing and you do not fit in, even when you try. Just do not be different on purpose — you have quite enough of it already."
"uranus","1","sun","2","Свободата ви струва пари и вие плащате цената. Не се хващате на работа, която ви връзва. Само оставяйте резерва, за да можете да си тръгвате.","Your freedom costs money and you pay the price. You do not take a job that ties you down. Just keep a reserve so you can always leave."
"uranus","1","sun","3","Казвате неудобното, без да го увъртате. Роднините ви смятат за странен и вие сте свикнали. Тук един остър въпрос отваря повече от година учтивост.","You say the awkward thing without dressing it up. Your relatives take you for odd and you are used to it. One sharp question here opens more than a year of politeness."
"uranus","1","sun","4","Вкъщи сте бунтарят и всички го знаят. Тръгнали сте рано или сте променили правилата отвътре. Тук връщането е избор, не задължение.","At home you are the rebel and everybody knows it. You either left early or changed the rules from inside. Coming back here is a choice, not an obligation."
"uranus","1","sun","5","Забавлявате се по свой начин и не се извинявате за вкуса си. Правите нещо, което другите не разбират, и то ви пали. Само не превръщайте различието в цялата си личност.","You amuse yourself your own way and do not apologise for your taste. You make something others do not understand, and it fires you up. Just do not turn being different into your whole personality."
"uranus","1","sun","6","Работата ви трябва да е свободна, иначе не издържате. Правите го по свой начин и излиза добре. Само не сменяйте всичко наведнъж.","Your work has to be free, otherwise you will not last. You do it your own way and it comes out well. Just do not change everything at once."
"uranus","1","sun","7","Партньорът ви е свободен човек или изобщо няма да го има. Обвързването ви плаши повече от самотата. Тук ясната уговорка е по-добра от преструвката.","Your partner is a free person, or there will be none at all. Being tied down frightens you more than being alone. A clear agreement here beats pretending."
"uranus","1","sun","8","Влизате там, където другите не смеят, и се променяте наведнъж. Нищо у вас не остава същото след криза. Само не търсете обрат, за да се почувствате жив.","You go where others will not, and you change all at once. Nothing about you stays the same after a crisis. Just do not go looking for upheaval in order to feel alive."
"uranus","1","sun","9","Убежденията ви са свои и не ги дължите на никого. Тръгвате внезапно и се връщате друг. Тук чуждото мнение ви е по-скоро материал, отколкото авторитет.","Your convictions are your own and you owe them to nobody. You leave suddenly and come back changed. Other people's opinion here is material rather than authority."
"uranus","1","sun","10","Пробивате с това, което другите не са опитали. Хората ви помнят като човека, който е направил различно. Само не рушете, преди да сте построили.","You break through with what nobody else has tried. People remember you as the one who did it differently. Just do not demolish before you have built."
"uranus","1","sun","11","Кръгът ви е от странни и интересни хора и вие сте сред своите. Каузите ви идват от групата. Само не всяка чужда идея заслужава вашето име.","Your circle is made of odd and interesting people and among them you are at home. Your causes come from the group. But not every idea of theirs deserves your name."
"uranus","1","sun","12","Различието ви е скрито и малко хора знаят колко. Правите неща, за които не разказвате. Извадете едно навън и ще ви олекне.","Your difference is hidden and few people know how much of it there is. You do things you never talk about. Bring one of them out and it will lighten you."
"uranus","1","moon","1","Настроението ви скача и хората не могат да го предвидят. Свиквате сами със себе си по-трудно, отколкото другите с вас. Тук режимът ви е по-полезен от волята.","Your mood jumps and people cannot predict it. You get used to yourself more slowly than others get used to you. Routine helps you here more than willpower."
"uranus","1","moon","2","Спокойни сте, когато имате резерва, която ви позволява да си тръгнете. Сигурността ви е свобода, не имот. Само не харчете всичко за независимост.","You are calm when you have a reserve that lets you walk away. Your security is freedom rather than property. Just do not spend everything on independence."
"uranus","1","moon","3","Говорите различно според деня и хората се обиждат без причина. Настроението ви влиза в думите веднага. Тук е добре да не пишете в разгара.","You speak differently depending on the day and people take offence for no reason. Your mood gets into the words at once. Better here not to write in the heat of it."
"uranus","1","moon","4","Вкъщи ви е нужно място, което е само ваше. Местили сте се или сте искали да се местите. Тук домът е там, където никой не влиза без питане.","At home you need a place that is only yours. You have moved, or wanted to. Home here is wherever nobody comes in without asking."
"uranus","1","moon","5","Радвате се внезапно и на неочаквани неща. Влюбвате се бързо и по своему. Стане ли предвидимо, интересът ви пада.","You are gladdened suddenly and by unexpected things. You fall in love fast and in your own way. Once it becomes predictable your interest drops."
"uranus","1","moon","6","Ежедневието ви трябва да има въздух, иначе ви задушава. Тялото ви реагира на еднообразие. Тук промяната е част от здравето.","Your daily round has to have air in it, otherwise it stifles you. Your body reacts to monotony. Change here is part of health."
"uranus","1","moon","7","Настроението ви зависи от това дали ви оставят на мира. Близостта ви е нужна, но с разстояние в нея. Кажете това на глас, вместо да изчезвате.","Your mood depends on whether you are left in peace. You need closeness with distance inside it. Say that out loud instead of disappearing."
"uranus","1","moon","8","Усещате обрата, преди да е дошъл, и се стягате. Привързвате се силно и после искате въздух. Тук честността пред себе си пази връзките.","You sense the upheaval before it arrives and you brace. You attach strongly and then want air. Honesty with yourself protects the bonds here."
"uranus","1","moon","9","Домът ви се мести и вие с него. Настроението ви иска нова гледка на всеки няколко години. Тук движението не е бягство, а храна.","Your home moves and you move with it. Your mood wants a new view every few years. Movement here is not escape but food."
"uranus","1","moon","10","Публичното ви засяга повече, отколкото показвате. Държите се независимо, а мнението ви влиза под кожата. Свикнете ли, това ще ви е предимство.","The public part touches you more than you show. You behave independently and other people's opinion still gets under your skin. Once you get used to it, it becomes an advantage."
"uranus","1","moon","11","Сред своите се чувствате нормален и това ви е нужно. Компанията ви дава настроението и посоката. Само пазете едно решение само за себе си.","Among your own you feel normal and you need that. The crowd gives you the mood and the direction. Just keep one decision for yourself alone."
"uranus","1","moon","12","Изчезвате, когато ви дойде много, и не обяснявате. Има нужда от тишина, която не наричате нужда. Кажете я, вместо да се губите.","You disappear when it gets too much and you do not explain. There is a need for silence you never call a need. Say it instead of vanishing."
"uranus","1","mercury","1","Мислите бързо и на скокове и хората не ви догонват. Казвате идеята, преди да е узряла. Тук едно записано изречение струва повече от десет казани.","You think fast and in jumps and people do not keep up. You say the idea before it has ripened. One written sentence here is worth ten spoken."
"uranus","1","mercury","2","Печелите от нещо ново или нестандартно. Умът ви намира начин, който другите не са видели. Само проверявайте числата, преди да тръгнете.","You earn from something new or unconventional. Your mind finds a way others have not seen. Just check the figures before you set off."
"uranus","1","mercury","3","Говорите различно и това ви прави забележим. Роднините не ви разбират идеите и вие спирате да обяснявате. Тук едно кратко обяснение все пак върши работа.","You speak differently and it makes you noticeable. Your relatives do not understand your ideas and you stop explaining. One short explanation still does the job here."
"uranus","1","mercury","4","Вкъщи мислите на глас и променяте плановете често. Домашните свикват да не се изненадват. Тук е добре да казвате решенията, а не хипотезите.","At home you think out loud and change the plans often. The household learns not to be surprised. Better here to announce decisions rather than hypotheses."
"uranus","1","mercury","5","Играете с идеи и това ви е забавлението. Учите бързо и се отегчавате още по-бързо. Довършете едно нещо и ще видите разликата.","You play with ideas and that is your amusement. You learn fast and get bored faster. Finish one thing and you will see the difference."
"uranus","1","mercury","6","Работата ви иска нови методи, иначе ви заспива. Хващате грешките в стария начин веднага. Само не разваляйте това, което работи.","Your work wants new methods, otherwise it puts you to sleep. You catch the flaws in the old way at once. Just do not break what works."
"uranus","1","mercury","7","Мислите на глас с един човек и той ви подрежда. Разговорът ви е нужен, за да стане идеята ясна. Каквото уговорите, го записвайте.","You think out loud with one person and they put you in order. You need the conversation for the idea to come clear. Whatever you agree, write it down."
"uranus","1","mercury","8","Интересува ви това, което не се обяснява лесно. Ровите, докато не намерите механизма. Тук знанието ви идва наведнъж, а не постепенно.","What interests you is whatever does not explain itself easily. You dig until you find the mechanism. Knowledge here arrives all at once rather than gradually."
"uranus","1","mercury","9","Убежденията ви се сменят, когато срещнете по-добър довод. Учите се от чужди и далечни хора. Тук е добре да не сменяте всичко наведнъж.","Your convictions change when you meet a better argument. You learn from foreign and distant people. Better here not to change everything at once."
"uranus","1","mercury","10","Говорите публично неща, които другите заобикалят. Хората ви помнят по едно изречение. Само не обещавайте, докато сте въодушевен.","You say in public what others go around. People remember you for one sentence. Just do not promise while you are carried away."
"uranus","1","mercury","11","Идеите ви идват в компания и оттам тръгват. Свързвате хора, които иначе не биха се срещнали. Само проверявайте чия е идеята.","Your ideas arrive in company and set off from there. You connect people who would otherwise never meet. Just check whose idea it was."
"uranus","1","mercury","12","Мислите нощем неща, които не казвате никому. Има идея, която е готова от години. Дайте я на един човек да я прочете.","You think things at night you tell nobody. There is an idea that has been ready for years. Let one person read it."
"uranus","1","venus","1","Харесват ви заради това, че сте различен, не въпреки него. Обличате се и се държите по свой начин. Само не мерете себе си с това колко сте оригинален.","People like you for being different, not in spite of it. You dress and behave your own way. Just do not measure yourself by how original you are."
"uranus","1","venus","2","Купувате странни и хубави неща и ги пазите дълго. Вкусът ви не следва мода. Само не харчете за неща, които просто са необичайни.","You buy odd and beautiful things and keep them a long time. Your taste does not follow fashion. Just do not spend on things whose only merit is being unusual."
"uranus","1","venus","3","Флиртувате с идеи, не с комплименти. Приятно ви е, когато някой мисли различно. Тук един интересен разговор струва повече от цветя.","You flirt with ideas rather than compliments. It pleases you when somebody thinks differently. One interesting conversation here is worth more than flowers."
"uranus","1","venus","4","Домът ви е нестандартен и това ви е удоволствието. Живеете по свои правила и не се обяснявате. Само не сменяйте мебелите вместо решенията.","Your home is unconventional and that is your pleasure. You live by your own rules and you do not explain yourself. Just do not rearrange the furniture instead of the decisions."
"uranus","1","venus","5","Влюбвате се внезапно и в необичайни хора. Обичате свободно и не понасяте собственост. Тук лекотата ви е и чарът, и рискът.","You fall in love suddenly and with unusual people. You love freely and cannot bear being owned. Lightness here is both your charm and your risk."
"uranus","1","venus","6","Работата ви трябва да е приятна и свободна наведнъж. Правите красивото по нов начин. Само не сменяйте занаята при първата скука.","Your work has to be pleasant and free at once. You make beautiful things in a new way. Just do not change trade at the first sign of boredom."
"uranus","1","venus","7","Партньорът ви е приятел преди всичко. Обвързването ви е приятно само когато е избрано наново. Кажете какво искате, вместо да чакате да се досети.","Your partner is a friend first of all. Commitment pleases you only when it is chosen again. Say what you want instead of waiting to be guessed."
"uranus","1","venus","8","Привличат ви хора и неща, които не са за всеки. Обичате силно и не по правилата. Тук яснотата пази повече от обещанието.","People and things not meant for everybody attract you. You love strongly and not by the rules. Clarity protects more here than a promise."
"uranus","1","venus","9","Влюбвате се в чуждото и в различното. Красивото ви идва от друга култура или от друг начин на живот. Само не отхвърляйте своето заради това.","You fall for the foreign and the different. Beauty reaches you from another culture or another way of living. Just do not reject your own because of it."
"uranus","1","venus","10","Харесват ви публично точно заради нестандартното. Работата ви носи име, ако не я изгладите прекалено. Само не обещавайте, за да сте приятен.","You are liked in public precisely for being unconventional. Your work makes a name as long as you do not smooth it over too much. Just do not promise in order to be agreeable."
"uranus","1","venus","11","Сред приятели ви е леко и там срещате любовта. Кръгът ви е странен и приятен. Само не приемайте вкуса на групата за свой.","Among friends you are at ease and that is where love turns up. Your circle is odd and pleasant. Just do not take the group's taste for your own."
"uranus","1","venus","12","Обичате тихо и по необичаен начин. Има привързаност, за която не говорите. Кажете я, преди да ви е натежала.","You love quietly and in an unusual way. There is an attachment you never mention. Say it before it starts to weigh."
"uranus","1","mars","1","Действате внезапно и хората не са готови. Свободата ви е по-важна от съгласието. Само не тръгвайте, преди да сте помислили за връщането.","You act suddenly and people are not ready. Your freedom matters more to you than anybody's agreement. Just do not set off before thinking about the way back."
"uranus","1","mars","2","Рискувате за независимост, не за пари. Хващате се за нещо ново и го изкарвате. Само оставяйте резерва за лош месец.","You risk for independence rather than money. You take hold of something new and make it work. Just keep a reserve for a bad month."
"uranus","1","mars","3","Казвате го остро и не се извинявате. С близките хвърчат искри заради вашите идеи. Тук е добре да броите до три преди отговор.","You say it sharply and do not apologise. With the people close by sparks fly over your ideas. Count to three before answering here."
"uranus","1","mars","4","Вкъщи вие сте човекът, който променя. Ремонт, местене, нови правила — всичко тръгва от вас. Само питайте другите, преди да сте започнали.","At home you are the one who changes things. A repair, a move, new rules — it all starts with you. Just ask the others before you begin."
"uranus","1","mars","5","Играете рисковано и обичате нови неща. Страстта ви пали бързо и минава бързо. Тук е добре да не залагате повече, отколкото ви е спокойно.","You play riskily and you like new things. Your passion catches fast and passes fast. Better here not to stake more than you can sit calmly with."
"uranus","1","mars","6","Работата ви иска движение и нови задачи. Дразните се от бавни правила. Само не сменяйте работата, преди да сте свършили тази.","Your work wants movement and new tasks. Slow rules irritate you. Just do not change jobs before you have finished this one."
"uranus","1","mars","7","Спорите за свобода с човека до вас. Той ви иска по-близо, вие искате въздух. Тук уговорката пази и двама ви.","You argue about freedom with the person beside you. They want you closer and you want air. The agreement protects you both here."
"uranus","1","mars","8","Влизате в криза с отворени очи и излизате друг. Не се плашите от обрат. Само не го предизвиквайте, за да усетите живот.","You go into a crisis with your eyes open and come out a different person. Upheaval does not frighten you. Just do not provoke it in order to feel alive."
"uranus","1","mars","9","Тръгвате внезапно и надалеч. Спорите за принципи и понякога заради тях напускате. Тук пътят е по-важен от правотата.","You leave suddenly and far. You argue about principles and sometimes quit over them. The road here matters more than being right."
"uranus","1","mars","10","Пробивате, като правите различно от всички. Хората ви следват, защото не се колебаете. Само не рушете това, което ви е нужно после.","You break through by doing it differently from everybody. People follow because you do not hesitate. Just do not demolish what you will need afterwards."
"uranus","1","mars","11","Биете се за групата и за общата идея. Приятелите ви вкарват в каузи. Само проверявайте дали каузата е ваша.","You fight for the group and for the shared idea. Friends pull you into causes. Just check whether the cause is yours."
"uranus","1","mars","12","Гневът ви идва внезапно и после сам изчезва. Има напрежение, което не показвате, докато не прелее. Кажете го рано.","Your anger arrives suddenly and then disappears on its own. There is tension you do not show until it spills over. Say it early."
"uranus","1","jupiter","1","Различието ви носи и вие го знаете. Хората ви вярват, защото сте открит. Само не поемайте всяка нова възможност.","Being different pays you and you know it. People trust you because you are open. Just do not take on every new opportunity."
