"planet","house","ruler","ruler_house","bg","en"
"mercury","12","mercury","12","Мислите повече, отколкото казвате, и това не ви тежи — просто така ви е удобно. Най-точните работи ги свършвате насаме, често късно вечер, и после ги показвате готови. Написаното ви се получава по-добре от изговореното.","You think more than you say, and it does not weigh on you — it simply suits you. Your most exact work gets done alone, often late at night, and you show it only when it is finished. What you write comes out better than what you speak."
"mercury","12","sun","1","Изглеждате отворени, а половината от вас остава зад вратата — и то нарочно. Каквото сте премислили сами, го внасяте в стаята с лице и глас, не с обяснения. Хората ви вярват, преди да сте се доказали.","You look open, and half of you stays behind the door on purpose. What you have thought through alone you bring into the room with your face and your voice, not with explanations. People trust you before you have proved anything."
"mercury","12","sun","11","Пред много хора мълчите, но има двама-трима, на които казвате всичко измислено наум. Точният кръг изкарва идеите ви наяве — без него остават в тетрадката. Изберете си приятели, които четат внимателно.","In a crowd you stay quiet, yet there are two or three people you tell everything you have worked out in your head. The right circle brings your ideas into the open — without it they stay in the notebook. Choose friends who read carefully."
"mercury","12","sun","12","Работите най-добре, когато никой не гледа, и се гордеете точно с това. Тишината не ви е наказание, а работно място. Внимавайте само да не изчезнете съвсем от погледа на хората, които могат да помогнат.","You work best when nobody is watching, and that is exactly what you take pride in. Silence is not a punishment but a workplace. Just take care not to vanish entirely from the sight of the people who could help."
"mercury","12","venus","1","Мълчаливи сте, но приятно мълчаливи, и хората го усещат веднага. Каквото сте премислили, излиза през вида ви, не през думите. Може да живеете от нещо красиво, което правите сами.","You are quiet, but pleasantly quiet, and people feel it at once. What you have thought through shows in how you look rather than in what you say. You could live off something beautiful you make on your own."
"mercury","12","venus","2","Тихата ви работа се превръща в пари и е добре така. Не обявявате колко печелите и не обичате да ви питат. Купувате си спокойствие, не показ.","Your quiet work turns into money, and that is as it should be. You do not announce what you earn and you dislike being asked. What you buy yourself is calm, not display."
"mercury","12","venus","3","С един близък човек — брат, сестра или съсед — си казвате нещата, които иначе премълчавате. Кратките разговори и няколко написани реда ви разчистват главата. По телефон и на хартия сте по-точни, отколкото в стая с хора.","With one close person — a brother, a sister, a neighbour — you say the things you otherwise keep back. Short talks and a few written lines clear your head. On the phone and on paper you are more exact than in a room full of people."
"mercury","12","venus","9","Тихото ви четене отива към нещо голямо — чужд език, вяра, далечен град. Ученето ви е удоволствие, не задача, и точно затова държи. Записвайте си, преди да сте забравили какво сте разбрали.","Your quiet reading heads somewhere large — a foreign language, a faith, a distant city. Study is a pleasure for you rather than a duty, and that is why it lasts. Write it down before you forget what you understood."
"mercury","12","venus","10","Онова, което правите скришом и с удоволствие, накрая ви носи името. Хората виждат готовата хубава работа, не безсънните вечери зад нея. Не се стеснявайте да поискате пари за нея.","The thing you do quietly and with pleasure ends up making your name. People see the finished, handsome work, not the sleepless evenings behind it. Do not be shy about charging for it."
"mercury","12","venus","11","Един мек, приятен човек ви вади от разговора със самите вас. С приятели ви идват най-леките идеи и там ги казвате свободно. Пазете този кръг малък, иначе се разсейвате.","One gentle, easy person draws you out of the conversation you keep having with yourself. Your lightest ideas come when friends are around, and there you say them freely. Keep that circle small, or you get scattered."
"mercury","12","venus","12","Обичате самотата си и си я нареждате хубаво — музика, книга, никой да не звъни. Мислите ви са меки, без остри ъгли, и точно затова ги казвате рядко. Умеете да мълчите с човек, без да ви е неудобно.","You love your solitude and you furnish it well — music, a book, no phone ringing. Your thoughts are soft, with no sharp corners, and that is exactly why you rarely voice them. You can sit in silence beside someone with no awkwardness at all."
"mercury","12","moon","1","Настроението решава какво ще кажете и какво ще запазите за себе си. Хората ви четат по лицето, преди да сте отворили уста. Един ден сте отворени, друг ден се затваряте — и двете са ви истински.","Your mood decides what you say and what you keep. People read your face before you open your mouth. One day you are open, the next you shut — both are genuinely you."
"mercury","12","moon","2","Спокойни сте, когато има оставено настрана, и тъкмо тогава мислите ясно. Тихата ви работа хваща и изпуска, върви на приливи. Не обявявайте плановете си, докато не са платени.","You are calm when something is put by, and that is when you think clearly. Your quiet work comes and goes in tides. Do not announce a plan until it has been paid for."
"mercury","12","moon","3","Един брат, сестра или човек от съседната улица е ушите ви. Пред него казвате измисленото наум и то се подрежда. Кратките пътувания и лесните разговори разсейват мъглата.","A sibling or someone from the next street is your ear. In front of that person what you worked out in your head gets said and settles. Short trips and easy talk clear the fog."
"mercury","12","moon","4","Главата ви работи с пълна сила само вкъщи, при затворена врата. Трябва ви ъгъл, в който никой не влиза, иначе се обърквате. Носите стари семейни разговори, които никой друг вече не помни.","Your mind only works at full strength at home, with the door shut. You need a corner nobody enters, or you get muddled. You carry old family conversations that nobody else remembers any more."
