"planet","house","ruler","ruler_house","bg","en"
"venus","10","venus","10","Харесват ви публично и това ви е част от работата. Умеете да влезете, да кажете нужното и да ви запомнят с добро. Тук вие решавате колко от себе си да покажете.","You are liked in public and that is part of your work. You know how to come in, say what is needed and be remembered kindly. You decide here how much of yourself to show."
"venus","10","sun","7","Името ви се прави заедно с друг човек — партньор, съдружник, някой, който ви представя. Хубавото се случва в двойка, не самичко. Тук отстъпката не е слабост, а тактика.","Your name is made together with another person — a partner, an associate, somebody who introduces you. Good things happen in pairs here, not alone. Conceding is not weakness here, it is tactics."
"venus","10","sun","8","Позицията ви идва през чужди пари или през доверие, което ви дават. Работите с това, което не е ваше, и го пазите. Тук дискретността е половината от успеха.","Your position comes through other people's money or through trust they hand you. You work with what is not yours and you guard it. Discretion here is half the success."
"venus","10","sun","9","Признанието ви идва отдалеч — чужбина, език, хора с друг мащаб. Вкусът, донесен отвън, ви прави различни. Тук стоенето на място ви смалява.","Your recognition comes from a distance — abroad, a language, people working at another scale. The taste you brought back makes you different. Staying put makes you smaller here."
"venus","10","sun","10","Тук всичко е на място: харесват ви и от това живеете. Държите на вида, на тона и на доброто впечатление. Само не забравяйте да свършите и работата.","Here everything sits in place: you are liked and you live by it. You mind the look, the tone and the good impression. Just do not forget to finish the work as well."
"venus","10","sun","11","Кариерата ви минава през хора — приятели, кръгове, препоръки. Един познат ви вкарва там, където сам не бихте влезли. Тук се връща толкова, колкото давате.","Your career goes through people — friends, circles, recommendations. One acquaintance gets you in where you would not get in alone. As much comes back here as you give."
"venus","10","sun","12","Работите зад кулисите и там сте най-добри. Правите красивото, а друг го обявява. Започне ли да ви горчи, е време да излезете отпред.","You work behind the scenes and that is where you are best. You make the beautiful thing and somebody else announces it. When it starts to taste bitter, it is time to step forward."
"venus","10","sun","1","Влизате и хората ви приемат — това е инструментът ви. Работата ви е свързана с това как изглеждате и как звучите. Само не разчитайте вечно само на него.","You walk in and people take to you — that is your instrument. Your work is bound up with how you look and how you sound. Just do not rely on it forever and on nothing else."
"venus","10","mercury","7","Уговаряте приятно и точно и от това идва положението ви. Работите добре с един човек до вас. Каквото не е казано ясно, ще ви струва после.","You negotiate pleasantly and precisely, and your position comes from that. You work well with one person beside you. Whatever is not said clearly will cost you later."
"venus","10","mercury","8","Занимавате се с чужди пари и с думи, които не се повтарят. Хората ви търсят за дискретност и вие я давате. Тук едно изпуснато изречение струва скъпо.","You deal with other people's money and with words that are not repeated. People come to you for discretion and you provide it. One sentence let slip is expensive here."
"venus","10","mercury","9","Обяснявате чуждото приятно и от това ви идва името. Език, преподаване или посредничество ви държат. Тук точността пази това, което чарът е отворил.","You explain the foreign pleasantly and your name comes from that. A language, teaching or brokering keeps you. Accuracy here protects what the charm opened."
"venus","10","mercury","10","Говорите и хората ви слушат — това ви е професията. Умеете да представите сложното просто и хубаво. Само не обещавайте в добър тон повече, отколкото ще свършите.","You speak and people listen — that is your profession. You can present the complicated simply and attractively. Just do not promise more in that pleasant tone than you will do."
"venus","10","mercury","11","Работата ви идва през мрежа от познати и вие я поддържате с думи. Помните кой какво може и това ви носи. Само не разчитайте на услуги, които не сте връщали.","Your work comes through a network of acquaintances and you keep it alive with words. You remember who can do what, and that pays. Just do not count on favours you never returned."
