"planet","house","ruler","ruler_house","bg","en"
"jupiter","3","jupiter","3","Разказвате нашироко и никой не ви държи юздата — тук всичко е ваше и се решава на място. Брат, съсед, кратък път, нова тема всяка седмица: светът ви е малък, но претъпкан. Само че обещаното на крак се трупа и един ден ви догонва накуп.","You talk expansively and nobody holds the reins; it is all yours here and it settles on the spot. A brother, a neighbour, a short trip, a fresh subject every week — your world is small and packed full. But promises made on your feet pile up, and one day they all catch up at once."
"jupiter","3","sun","1","Влезете ли някъде, започвате да разказвате и стаята става по-широка. Помнят ви като човека, който знае по нещо за всичко. Само че обещаете ли нещо на крак, после сами се чудите как да го изпълните.","You walk in, you start telling, and the room gets bigger. People remember you as the one who knows a bit about everything. The trouble is what you promise standing up; afterwards you wonder how to make it good."
"jupiter","3","sun","2","Обяснявате нашироко и точно с това си вадите хляба. Гордеете се, че една ваша дума докарва работа, и обичате да черпите след това. Внимавайте да не раздадете повече, отколкото ви е влязло.","You explain generously and that is how you earn your bread. You are proud that one word from you brings in work, and you like to stand a round afterwards. Careful not to give away more than came in."
"jupiter","3","sun","3","Всичко тук е ваше и вие сте в средата му: телефонът, съседът, брат ви, пътят до близкия град. Разказвате едро и хората идват да ви питат, защото ви е приятно да ги учите. Никой не ви удържа, затова приказката расте, докато не стане повече от свършеното.","It is all yours here and you sit in the middle of it: the phone, the neighbour, your brother, the road to the next town. You tell it large and people come to ask you, because teaching them pleases you. Nobody holds you back, so the talk grows until there is more of it than of the work."
"jupiter","3","sun","4","Разказвачът у вас е тръгнал от къщи — там са ви слушали първите пъти. Признаят ли ви своите, говорите свободно навън; премълчат ли, ставате по-шумни, отколкото искате. Затова една дума от брат ви тежи колкото десет отвън.","The storyteller in you started at home; that is where you were first listened to. Praised by your own, you speak freely outside; passed over, you get louder than you meant. One sentence from a brother weighs as much as ten from anyone else."
"jupiter","3","sun","5","Най-добре говорите, когато има кого да развеселите — дете, компания, човек, който ви харесва. Тогава разказвате едро и красиво и ви обичат точно за това. Хванат ли ви едно преувеличение, не се сърдете: половината чар беше в него.","You talk best when there is somebody to cheer up — a child, a table of friends, someone you fancy. Then the stories come out large and handsome, and that is exactly what people love you for. If they catch an exaggeration, take it lightly; half the charm was in it."
"jupiter","3","sun","6","Знанието ви става полезно, щом влезе в делника: да покажете на колега, да напишете упътване, да оправите нещо с едно обаждане. Приказка без свършена работа бързо омръзва и на самите вас. Гледайте да не поемате три задачи наведнъж от желание да сте полезни.","What you know turns useful the moment it enters the working day: showing a colleague, writing the instructions, fixing something with one call. Talk without a finished job soon bores even you. Just watch that eagerness to help does not land you three tasks at once."
"jupiter","3","sun","7","Има един човек, пред когото разказвате най-нашироко, и той решава колко от това ще стане истина. Той ви подрежда обещанията и ви пази от собствения ви размах. Останете ли без такъв слушател, започвате да говорите на всички еднакво.","There is one person you open up to most, and they decide how much of it becomes real. They sort your promises and keep you from your own sweep. Without such a listener you start talking to everybody the same way."
"jupiter","3","sun","8","Щедри сте на думи, а една врата държите затворена — чужда тайна, стар дълг, нещо, което не е ваше да разказвате. Затова понякога звучите по-широко, отколкото сте наистина. Кажете рано, ако не можете да обещаете; иначе се плаща с лихва.","You are generous with words and still keep one door shut: somebody else's secret, an old debt, a thing that is not yours to tell. That is why you sometimes sound broader than you actually are. Say early when you cannot promise, or it gets paid back with interest."
"jupiter","3","sun","9","Наоколо бързо ви свършват темите — учите, четете, тръгвате и се връщате с нови приказки. Оттам ви идва увереността да обяснявате на околните. Само не превръщайте всяко пътуване в лекция за онези, които са си останали.","Close to home you run out of subjects fast: you study, you read, you set off and come back with new stories. That is where the confidence to explain to everyone comes from. Just do not turn every trip into a lecture for the people who stayed."
"jupiter","3","sun","10","Едно ваше изречение на правилното място ви е свършило повече работа от година мълчание. Знаят ви като човека, който обяснява ясно, и това име ви храни. Затова мерете какво обещавате пред хора — помни се.","One sentence of yours in the right place has done more for you than a year of keeping quiet. You are known as the person who explains clearly, and that name feeds you. So measure what you promise in public; it gets remembered."
"jupiter","3","sun","11","В компания сте най-добри: разказвате, свързвате хора, намирате на всеки по един познат. Кръгът ви расте, защото сте щедри с това, което знаете. Гледайте само да не станете човекът, който все обещава да уреди.","You are at your best in company: telling stories, connecting people, finding everybody a useful acquaintance. Your circle grows because you are generous with what you know. Just take care not to become the one who is always about to arrange something."
"jupiter","3","sun","12","Смятат ви за отворен, а голямата приказка се води вътре и рядко излиза. Записвайте я, иначе се върти в главата и изскача на пресекулки пред когото сварите. Тихата помощ, която раздавате, рядко се връща на ваше име.","People take you for an open book, while the big talk goes on inside and rarely gets out. Write it down, or it circles in your head and jumps out in bursts at whoever is handy. The quiet help you hand around is seldom credited to you."
"jupiter","3","moon","1","Приказката ви се вдига и спада с настроението и по вас си личи. В добър ден раздавате съвети наред, в лош отговаряте с две думи и хората не разбират какво стана. Тук сами си държите чешмата.","Your talk rises and falls with your mood and it shows on you. On a good day you hand out advice to all comers; on a bad one you answer in two words and nobody knows what happened. The tap is in your own hand here."
"jupiter","3","moon","2","Разказвате широко, докато има какво да сложите на масата. Стане ли тънко, млъквате и ви е неудобно от обещаното. Оправите ли парите, езикът ви пак се отпуска.","You tell it large as long as there is something to put on the table. When money runs thin you go quiet and feel awkward about what you promised. Sort the money out and your tongue loosens again."
"jupiter","3","moon","3","Всичко ви е под ръка и всичко се мени бързо: обаждане, съседка, кратък път, нова новина. Разказвате на всеки и на всекиго обещавате по нещо, защото ви е хубаво да зарадвате. Вечер обаче не помните на кого какво сте казали.","Everything is within reach and everything shifts fast: a call, a neighbour, a short trip, a fresh piece of news. You tell it to everyone and promise everyone something, because making people glad feels good. By evening, though, you cannot recall who was promised what."
"jupiter","3","moon","4","Голямата приказка ви е у дома — сядате там и не ставате два часа. Своите ви питат и вие обяснявате търпеливо, дори когато не са питали. Тръгне ли нещо накриво под този покрив, и навън говорите насила.","The long talk happens at home; you sit down there and do not get up for two hours. Your own people ask and you explain patiently, even when nobody asked. If things go wrong under that roof, talk outside comes out forced."
"jupiter","3","moon","5","С деца и в компания ви идва най-хубавото: разказвате, поразтягате малко и всички се смеят. Оттам ви се пълни настроението за дни напред. Остане ли само задължението, приказката ви пресъхва.","With children and in good company the best of it comes out: you tell, you stretch it a little, everyone laughs. That is what fills your mood back up for days. Leave you with duty alone and the talk dries up."
"jupiter","3","moon","6","Главата ви върти по десет неща и се успокоява само когато напишете списък и свършите едното. Обясните ли на колега как става, олеква и на вас. Не поемайте чужди задачи от жалост — после ви тежат телом.","Your head runs ten things at once and only settles when you write a list and finish one of them. Showing a colleague how it is done lightens you as much as them. Do not take on other people's jobs out of pity; you feel it in your body later."
"jupiter","3","moon","7","Разказвате, за да ви чуе точно един човек, и по неговото лице мерите дали е добре казано. Той ви успокоява и той ви подрязва обещанията. Замълчи ли, започвате да говорите повече, а не по-малко.","You tell it so that one particular person hears it, and you read their face to know whether it landed. They calm you and they trim your promises. When they go silent you talk more, not less."
"jupiter","3","moon","8","Едно премълчано изречение ви върти в главата с дни и си дописвате най-широкото продължение. Обещаете ли помощ около чужди пари, ще ви държат за думата по-дълго, отколкото сте мислили. Питайте направо и ще ви олекне.","One unsaid sentence turns in your head for days and you write yourself the largest possible ending for it. Promise help around money that is not yours and people will hold you to it far longer than you expected. Ask straight out and the weight lifts."
"jupiter","3","moon","9","Квартала го знаете наизуст и точно затова ви е тясно. Оправяте се, когато четете или тръгнете нанякъде, и се връщате с приказки за месец напред. Само че вкъщи не всички искат да ги учите.","You know the neighbourhood by heart and that is precisely why it feels tight. Reading or setting off somewhere puts you right, and you come back with a month's worth of stories. But not everybody at home wants to be taught."
"jupiter","3","moon","10","Преди да кажете нещо пред хора, преценявате как ще прозвучи, и понякога се пресилвате. Похвалят ли ви за казаното, ви е добре дни наред. Обещаното пред хора обаче се брои двойно.","Before you say a thing in public you weigh how it will sound, and sometimes you overreach. A compliment for something you said keeps you happy for days. What is promised in front of people, though, counts twice."
"jupiter","3","moon","11","Сред приятели говорите най-дълго и там ви слушат най-търпеливо. Обичате да срещате един с друг и обещавате уреждания на драго сърце. Утихне ли кръгът за седмица, започвате да се питате какво сте сгрешили.","Among friends you talk longest and are listened to most patiently. You like putting one in touch with another and promise to arrange things gladly. Let the circle go quiet for a week and you start wondering what you did wrong."
"jupiter","3","moon","12","Наум разказвате по-дълго, отколкото на глас, и тези изречения ви крадат съня. Помагате тихо и после ви е криво, че никой не е разбрал. Изберете си един човек, на когото казвате всичко; иначе се пълните без изход.","In your head the telling runs longer than out loud, and those are the sentences that cost you sleep. You help quietly, then it stings that nobody noticed. Pick one person you tell everything to, or it just fills up with nowhere to go."
"jupiter","3","mercury","1","Мислите на глас и то върви на едро: започвате с една новина и след пет минути обяснявате нещо съвсем друго. Търсят ви, защото знаете по малко от всичко. Тук няма кой да ви спре, тъй че сами се учете да свършвате изречението.","You think out loud and you do it wholesale: you start with one piece of news and five minutes later you are explaining something else entirely. People come to you because you know a bit about everything. Nothing outside stops you here, so learn to finish the sentence yourself."
"jupiter","3","mercury","2","Каквото знаете, го обръщате в пари: уговорка, посредничество, урок, комисиона през познат. Върви ви, защото говорите повече и по-леко от другите. Само не продавайте нещо, което още не сте научили докрай.","What you know you turn into money — a deal, a middleman's cut, a lesson, a favour through an acquaintance. It works because you talk more and more easily than the rest. Just do not sell something you have not finished learning."
